,Category,ID,Message,Unknown,Clean_message,Tagged_message
10,affected_people,'460400944769806337',2 in Florida Show Symptoms of Deadly Middle EasternÂ Virus http://t.co/SI3l6M4Zhf,1,2 in Florida Show Symptoms of Deadly Middle EasternVirus ,"[('2', 'LS'), ('in', 'IN'), ('Florida', 'NNP'), ('Show', 'NNP'), ('Symptoms', 'NNP'), ('of', 'IN'), ('Deadly', 'NNP'), ('Middle', 'NNP'), ('EasternVirus', 'NNP')]"
11,affected_people,'460400959785418752',RT @CBCAlerts: Centers for Disease Control reports first case of #MERS in the United States. #CDC,,  Centers for Disease Control reports first case of #MERS in the United States. #CDC,"[('Centers', 'NNS'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('reports', 'VBZ'), ('first', 'JJ'), ('case', 'NN'), ('of', 'IN'), ('#', '#'), ('MERS', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('.', '.'), ('#', '#'), ('CDC', 'NNP')]"
12,affected_people,'460401830573256704',_Saudi Arabia finds another 18 #MERS cases as disease spreads. http://t.co/j1QyWC6IvJ #publichealth #ptsafety #healthcare,,_Saudi Arabia finds another 18 #MERS cases as disease spreads.  #publichealth #ptsafety #healthcare,"[('_Saudi', 'NNP'), ('Arabia', 'NNP'), ('finds', 'VBZ'), ('another', 'DT'), ('18', 'CD'), ('#', '#'), ('MERS', 'NNP'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS'), ('.', '.'), ('#', '#'), ('publichealth', 'NN'), ('#', '#'), ('ptsafety', 'NN'), ('#', '#'), ('healthcare', 'NN')]"
13,affected_people,'460401843927937024',#SaudiArabia finds another 32 MERS cases as disease spreads: Saudi Arabia said on Thursday it had iden... http://t.co/89A2es4jjk,,#SaudiArabia finds another 32 MERS cases as disease spreads: Saudi Arabia said on Thursday it had iden... ,"[('#', '#'), ('SaudiArabia', 'NNP'), ('finds', 'NNS'), ('another', 'DT'), ('32', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS'), (':', ':'), ('Saudi', 'NNP'), ('Arabia', 'NNP'), ('said', 'VBD'), ('on', 'IN'), ('Thursday', 'NNP'), ('it', 'PRP'), ('had', 'VBD'), ('iden', 'VBN'), ('...', ':')]"
14,affected_people,'460402945717456896',Potential MERS cases under watch: The Disease Control Department on Thursday revealed that 17 people have been... http://t.co/0Kg2wrR6Y7,,Potential MERS cases under watch: The Disease Control Department on Thursday revealed that 17 people have been... ,"[('Potential', 'JJ'), ('MERS', 'NNS'), ('cases', 'NNS'), ('under', 'IN'), ('watch', 'NN'), (':', ':'), ('The', 'DT'), ('Disease', 'NNP'), ('Control', 'NNP'), ('Department', 'NNP'), ('on', 'IN'), ('Thursday', 'NNP'), ('revealed', 'VBD'), ('that', 'IN'), ('17', 'CD'), ('people', 'NNS'), ('have', 'VBP'), ('been', 'VBN'), ('...', ':')]"
15,affected_people,'460403081528635393',#DaniieliToh_x MYSTERIOUS DISEASE  CDC confirms first case of MERS virus in an American: VIDEO: CDC announces ... http://t.co/19v9Qt50px,,#DaniieliToh_x MYSTERIOUS DISEASE  CDC confirms first case of MERS virus in an American: VIDEO: CDC announces ... ,"[('#', '#'), ('DaniieliToh_x', 'NNP'), ('MYSTERIOUS', 'NNP'), ('DISEASE', 'NNP'), ('CDC', 'NNP'), ('confirms', 'VBZ'), ('first', 'JJ'), ('case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), ('virus', 'NN'), ('in', 'IN'), ('an', 'DT'), ('American', 'JJ'), (':', ':'), ('VIDEO', 'NNP'), (':', ':'), ('CDC', 'NNP'), ('announces', 'NNS'), ('...', ':')]"
16,affected_people,'460404012022771713',"Airports on alert after 2nd MERS case confirmed: HUNTSVILLE, Ala. (WAAY) â€“ The Centers for Disease Control and... http://t.co/PBzRUIkbfk",,"Airports on alert after 2nd MERS case confirmed: HUNTSVILLE, Ala. (WAAY)  The Centers for Disease Control and... ","[('Airports', 'NNS'), ('on', 'IN'), ('alert', 'NN'), ('after', 'IN'), ('2nd', 'CD'), ('MERS', 'NNS'), ('case', 'NN'), ('confirmed', 'VBD'), (':', ':'), ('HUNTSVILLE', 'NNP'), (',', ','), ('Ala.', 'NNP'), ('(', 'NNP'), ('WAAY', 'NNP'), (')', 'NNP'), ('The', 'NNP'), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('...', ':')]"
17,affected_people,'460404072126750720',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/Qwvo3kFX35,,Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... ,"[('Third', 'JJ'), ('Case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), ('Confirmed', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('U.S.', 'NNP'), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('confirmed', 'VBD'), ('on', 'IN'), ('Sat', 'NNP'), ('...', ':')]"
18,affected_people,'460404220437344257',RT @CBIC: RT @CIDRAP Official: US #MERS patient's first symptoms preceded travel http://t.co/89F6VQxisC #infectioncontrol #publichealth,,    Official: US #MERS patient's first symptoms preceded travel  #infectioncontrol #publichealth,"[('Official', 'JJ'), (':', ':'), ('US', 'PRP'), ('#', '#'), ('MERS', 'NNS'), ('patient', 'NN'), (""'s"", 'POS'), ('first', 'JJ'), ('symptoms', 'NNS'), ('preceded', 'VBN'), ('travel', 'NN'), ('#', '#'), ('infectioncontrol', 'NN'), ('#', '#'), ('publichealth', 'NN')]"
19,affected_people,'460404530157719552',RT @RT_America: Two hospital workers showing signs of deadly MERS virus in Florida http://t.co/klie6RK27F http://t.co/NaPu9kXARc,1, @_America: Two hospital workers showing signs of deadly MERS virus in Florida  ,"[('@', 'IN'), ('_America', 'NNP'), (':', ':'), ('Two', 'CD'), ('hospital', 'JJ'), ('workers', 'NNS'), ('showing', 'VBG'), ('signs', 'NNS'), ('of', 'IN'), ('deadly', 'RB'), ('MERS', 'NNP'), ('virus', 'NN'), ('in', 'IN'), ('Florida', 'NNP')]"
20,affected_people,'460404961533497344',First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease Control has confirmed that a case of the deadly Midd...,,First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease Control has confirmed that a case of the deadly Midd...,"[('First', 'NNP'), ('Case', 'NNP'), ('of', 'IN'), ('Deadly', 'NNP'), ('Middle', 'NNP'), ('Eastern', 'NNP'), ('Virus', 'NNP'), ('Found', 'NNP'), ('in', 'IN'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('Centers', 'NNPS'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('has', 'VBZ'), ('confirmed', 'VBN'), ('that', 'IN'), ('a', 'DT'), ('case', 'NN'), ('of', 'IN'), ('the', 'DT'), ('deadly', 'RB'), ('Midd', 'NNP'), ('...', ':')]"
21,affected_people,'460405586031816704',Saudi Arabia finds another 18 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia has identified 18... http://t.co/GpYpBb4080,,Saudi Arabia finds another 18 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia has identified 18... ,"[('Saudi', 'NNP'), ('Arabia', 'NNP'), ('finds', 'VBZ'), ('another', 'DT'), ('18', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS'), (':', ':'), ('RIYADH', 'NNP'), ('(', ':'), ('Reuters', 'NNP'), (')', 'NNP'), ('-', ':'), ('Saudi', 'NNP'), ('Arabia', 'NNP'), ('has', 'VBZ'), ('identified', 'VBN'), ('18', 'CD'), ('...', ':')]"
22,affected_people,'460405737190346752',2 health care workers exposed to MERS patient had flu-like symptoms  #news,1,2 health care workers exposed to MERS patient had flu-like symptoms  #news,"[('2', 'LS'), ('health', 'NN'), ('care', 'NN'), ('workers', 'NNS'), ('exposed', 'VBD'), ('to', 'TO'), ('MERS', 'NNP'), ('patient', 'NN'), ('had', 'VBD'), ('flu-like', 'JJ'), ('symptoms', 'NNS'), ('#', '#'), ('news', 'NN')]"
23,affected_people,'460405815367589888',#01Molleto 2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/EKfJccrRZ1 #HerreraTeamSwagga,1,#01Molleto 2 in Florida Show Symptoms of Deadly Middle Eastern Virus  #HerreraTeamSwagga,"[('#', '#'), ('01Molleto', 'CD'), ('2', 'CD'), ('in', 'IN'), ('Florida', 'NNP'), ('Show', 'NNP'), ('Symptoms', 'NNP'), ('of', 'IN'), ('Deadly', 'NNP'), ('Middle', 'NNP'), ('Eastern', 'NNP'), ('Virus', 'NNP'), ('#', '#'), ('HerreraTeamSwagga', 'NNP')]"
24,affected_people,'460406059845156864',NTRR Works to Eliminate Spread of Disease as 2nd U.S. Case of MERS Reported - MarketWatch http://t.co/ClYho9pA2t,,NTRR Works to Eliminate Spread of Disease as 2nd U.S. Case of MERS Reported - MarketWatch ,"[('NTRR', 'NNP'), ('Works', 'NNP'), ('to', 'TO'), ('Eliminate', 'NNP'), ('Spread', 'NNP'), ('of', 'IN'), ('Disease', 'NNP'), ('as', 'IN'), ('2nd', 'CD'), ('U.S.', 'NNP'), ('Case', 'NNP'), ('of', 'IN'), ('MERS', 'NNP'), ('Reported', 'NNP'), ('-', ':'), ('MarketWatch', 'NNP')]"
25,affected_people,'460406086181584896',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/vLuu3F5CH1,,Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... ,"[('Third', 'JJ'), ('Case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), ('Confirmed', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('U.S.', 'NNP'), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('confirmed', 'VBD'), ('on', 'IN'), ('Sat', 'NNP'), ('...', ':')]"
26,affected_people,'460406506786394112',RT @HelenBranswell: 2 healthcare workers at Orlando hospital who had contact with 2nd #MERS case have flu-like symptoms.Waiting for test reâ€¦,1,  2 healthcare workers at Orlando hospital who had contact with 2nd #MERS case have flu-like symptoms.Waiting for test re,"[('2', 'LS'), ('healthcare', 'NN'), ('workers', 'NNS'), ('at', 'IN'), ('Orlando', 'NNP'), ('hospital', 'NN'), ('who', 'WP'), ('had', 'VBD'), ('contact', 'VBN'), ('with', 'IN'), ('2nd', 'CD'), ('#', '#'), ('MERS', 'NNP'), ('case', 'NN'), ('have', 'VBP'), ('flu-like', 'JJ'), ('symptoms.Waiting', 'JJ'), ('for', 'IN'), ('test', 'NN'), ('re', 'NN')]"
27,affected_people,'460406583823171584',2 in Florida Show Symptoms of Deadly Middle Eastern Virus: Two healthcare workers at an Orlando-area hospital ... http://t.co/88NQPLMvq4,1,2 in Florida Show Symptoms of Deadly Middle Eastern Virus: Two healthcare workers at an Orlando-area hospital ... ,"[('2', 'LS'), ('in', 'IN'), ('Florida', 'NNP'), ('Show', 'NNP'), ('Symptoms', 'NNP'), ('of', 'IN'), ('Deadly', 'NNP'), ('Middle', 'NNP'), ('Eastern', 'NNP'), ('Virus', 'NNP'), (':', ':'), ('Two', 'CD'), ('healthcare', 'JJ'), ('workers', 'NNS'), ('at', 'IN'), ('an', 'DT'), ('Orlando-area', 'NNP'), ('hospital', 'NN'), ('...', ':')]"
28,affected_people,'460406798349250560',Saudi Arabia finds another 18 MERS cases as disease spreads: Saudi Arabia has identified 18 new cases of Middl... http://t.co/tdI7DOrXJz,,Saudi Arabia finds another 18 MERS cases as disease spreads: Saudi Arabia has identified 18 new cases of Middl... ,"[('Saudi', 'NNP'), ('Arabia', 'NNP'), ('finds', 'VBZ'), ('another', 'DT'), ('18', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS'), (':', ':'), ('Saudi', 'NNP'), ('Arabia', 'NNP'), ('has', 'VBZ'), ('identified', 'VBN'), ('18', 'CD'), ('new', 'JJ'), ('cases', 'NNS'), ('of', 'IN'), ('Middl', 'NNP'), ('...', ':')]"
29,affected_people,'460406831647850496',RT @Reuters: Saudi Arabia finds another 18 MERS cases as disease spreads http://t.co/d8P2ymugzg,,  Saudi Arabia finds another 18 MERS cases as disease spreads ,"[('Saudi', 'NNP'), ('Arabia', 'NNP'), ('finds', 'VBZ'), ('another', 'DT'), ('18', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS')]"
30,affected_people,'460407666964455424',RT @CMichaelGibson: 2 health care workers exposed to MERS patient had flu-like symptoms - http://t.co/1X5k4yBrFc http://t.co/QXiRFI4CL3,1,  2 health care workers exposed to MERS patient had flu-like symptoms -  ,"[('2', 'LS'), ('health', 'NN'), ('care', 'NN'), ('workers', 'NNS'), ('exposed', 'VBD'), ('to', 'TO'), ('MERS', 'NNP'), ('patient', 'NN'), ('had', 'VBD'), ('flu-like', 'JJ'), ('symptoms', 'NNS'), ('-', ':')]"
31,affected_people,'460408286014341120',"""The first U.S. case of MERS-CoV has been reported in Indiana, the Centers for Disease Control and Prevention says."" via @cnnbrk",,"""The first U.S. case of MERS-CoV has been reported in Indiana, the Centers for Disease Control and Prevention says."" via ","[('``', '``'), ('The', 'DT'), ('first', 'JJ'), ('U.S.', 'NNP'), ('case', 'NN'), ('of', 'IN'), ('MERS-CoV', 'NN'), ('has', 'VBZ'), ('been', 'VBN'), ('reported', 'VBN'), ('in', 'IN'), ('Indiana', 'NNP'), (',', ','), ('the', 'DT'), ('Centers', 'NNPS'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('says', 'VBZ'), ('.', '.'), (""''"", ""''""), ('via', 'IN')]"
32,affected_people,'460408321304829953',RT @BreakingNews: Federal health officials say Illinois man believed to be infected with the MERS virus didn't have signs of the disease afâ€¦,,  Federal health officials say Illinois man believed to be infected with the MERS virus didn't have signs of the disease af,"[('Federal', 'NNP'), ('health', 'NN'), ('officials', 'NNS'), ('say', 'VBP'), ('Illinois', 'NNP'), ('man', 'NN'), ('believed', 'VBD'), ('to', 'TO'), ('be', 'VB'), ('infected', 'VBN'), ('with', 'IN'), ('the', 'DT'), ('MERS', 'NNS'), ('virus', 'VBZ'), ('did', 'VBD'), (""n't"", 'RB'), ('have', 'VB'), ('signs', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('disease', 'NN'), ('af', 'NN')]"
33,affected_people,'460408681822437376',#FL health workers have symptoms after #MERS patient contact http://t.co/1bfFz9Hz9x #HSEM #Flu,,#FL health workers have symptoms after #MERS patient contact  #HSEM #Flu,"[('#', '#'), ('FL', 'NNP'), ('health', 'NN'), ('workers', 'NNS'), ('have', 'VBP'), ('symptoms', 'NNS'), ('after', 'IN'), ('#', '#'), ('MERS', 'NNS'), ('patient', 'NN'), ('contact', 'NN'), ('#', '#'), ('HSEM', 'NNP'), ('#', '#'), ('Flu', 'NNP')]"
34,affected_people,'460408909317304320',"#LatestNews Person who has contact with Indiana MERS patient positive for virus, but few symptoms: Alex CukanA...  http://t.co/X4sNKIcBEP",,"#LatestNews Person who has contact with Indiana MERS patient positive for virus, but few symptoms: Alex CukanA...  ","[('#', '#'), ('LatestNews', 'NNP'), ('Person', 'NNP'), ('who', 'WP'), ('has', 'VBZ'), ('contact', 'VBN'), ('with', 'IN'), ('Indiana', 'NNP'), ('MERS', 'NNP'), ('patient', 'NN'), ('positive', 'JJ'), ('for', 'IN'), ('virus', 'NN'), (',', ','), ('but', 'CC'), ('few', 'JJ'), ('symptoms', 'NNS'), (':', ':'), ('Alex', 'NNP'), ('CukanA', 'NNP'), ('...', ':')]"
35,affected_people,'460408923791843328',Two hospital workers showing signs of deadly MERS virus in Florida: More cases of the deadly Middle East Respi... http://t.co/wN60M92gUb,,Two hospital workers showing signs of deadly MERS virus in Florida: More cases of the deadly Middle East Respi... ,"[('Two', 'CD'), ('hospital', 'JJ'), ('workers', 'NNS'), ('showing', 'VBG'), ('signs', 'NNS'), ('of', 'IN'), ('deadly', 'RB'), ('MERS', 'NNP'), ('virus', 'NN'), ('in', 'IN'), ('Florida', 'NNP'), (':', ':'), ('More', 'JJR'), ('cases', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('deadly', 'RB'), ('Middle', 'NNP'), ('East', 'NNP'), ('Respi', 'NNP'), ('...', ':')]"
36,affected_people,'460408961028456448',First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... http://t.co/fpiNyNht27,,First Case of Deadly Middle Eastern Virus Found in U.S.: The Center for Disease Control has confirmed that a c... ,"[('First', 'NNP'), ('Case', 'NNP'), ('of', 'IN'), ('Deadly', 'NNP'), ('Middle', 'NNP'), ('Eastern', 'NNP'), ('Virus', 'NNP'), ('Found', 'NNP'), ('in', 'IN'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('Center', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('has', 'VBZ'), ('confirmed', 'VBN'), ('that', 'IN'), ('a', 'DT'), ('c', 'NN'), ('...', ':')]"
37,affected_people,'460409346590248960',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/Nj9UDptttv,,Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... ,"[('Third', 'JJ'), ('Case', 'NN'), ('of', 'IN'), ('MERS', 'NNP'), ('Confirmed', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), (':', ':'), ('The', 'DT'), ('U.S.', 'NNP'), ('Centers', 'NNP'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('and', 'CC'), ('Prevention', 'NNP'), ('confirmed', 'VBD'), ('on', 'IN'), ('Sat', 'NNP'), ('...', ':')]"
38,affected_people,'460410002021154816',#WebDesigning 2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/Bu5UsAWnFt,,#WebDesigning 2 in Florida Show Symptoms of Deadly Middle Eastern Virus ,"[('#', '#'), ('WebDesigning', 'NNP'), ('2', 'CD'), ('in', 'IN'), ('Florida', 'NNP'), ('Show', 'NNP'), ('Symptoms', 'NNP'), ('of', 'IN'), ('Deadly', 'NNP'), ('Middle', 'NNP'), ('Eastern', 'NNP'), ('Virus', 'NNP')]"
39,affected_people,'460410135593353217',Saudi Arabia reports another 32 MERS cases as disease spreads http://t.co/mfZ8B7DKA8,,Saudi Arabia reports another 32 MERS cases as disease spreads ,"[('Saudi', 'NNP'), ('Arabia', 'NNP'), ('reports', 'VBZ'), ('another', 'DT'), ('32', 'CD'), ('MERS', 'NNS'), ('cases', 'NNS'), ('as', 'IN'), ('disease', 'NN'), ('spreads', 'NNS')]"
40,affected_people,'460410333753249792',dont bring that shit here RT @NBCLA: LA Co. residents who shared flight w/ MERS patient show no signs of having virus http://t.co/zd4bhqWKxQ,,dont bring that shit here   LA Co. residents who shared flight w/ MERS patient show no signs of having virus ,"[('dont', 'NN'), ('bring', 'VBG'), ('that', 'IN'), ('shit', 'NN'), ('here', 'RB'), ('LA', 'NNP'), ('Co.', 'NNP'), ('residents', 'NNS'), ('who', 'WP'), ('shared', 'VBN'), ('flight', 'VBD'), ('w/', '-NONE-'), ('MERS', 'NNP'), ('patient', 'NN'), ('show', 'NN'), ('no', 'DT'), ('signs', 'NNS'), ('of', 'IN'), ('having', 'VBG'), ('virus', 'NN')]"
41,affected_people,'460410703774769153',Centers for Disease Control confirms first U.S. case of deadly MERS virus http://t.co/5EJXv7eTLK,,Centers for Disease Control confirms first U.S. case of deadly MERS virus ,"[('Centers', 'NNS'), ('for', 'IN'), ('Disease', 'NNP'), ('Control', 'NNP'), ('confirms', 'VBZ'), ('first', 'JJ'), ('U.S.', 'NNP'), ('case', 'NN'), ('of', 'IN'), ('deadly', 'RB'), ('MERS', 'NNP'), ('virus', 'NN')]"
42,affected_people,'460411380357947392',2 Florida Health Workers Showing Symptoms After Exposure To MERS Patient http://t.co/XDIU6yojjK,,2 Florida Health Workers Showing Symptoms After Exposure To MERS Patient ,"[('2', 'LS'), ('Florida', 'NNP'), ('Health', 'NNP'), ('Workers', 'NNP'), ('Showing', 'NNP'), ('Symptoms', 'NNP'), ('After', 'NNP'), ('Exposure', 'NNP'), ('To', 'NNP'), ('MERS', 'NNP'), ('Patient', 'NNP')]"
